id,pokedex_number,name,generation,status,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed
117,89,Alolan Muk,1,Normal,Poison,Dark,105,105,75,65,100,50
118,90,Shellder,1,Normal,Water,,30,65,100,45,25,40
119,91,Cloyster,1,Normal,Water,Ice,50,95,180,85,45,70
120,92,Gastly,1,Normal,Ghost,Poison,30,35,30,100,35,80
121,93,Haunter,1,Normal,Ghost,Poison,45,50,45,115,55,95
122,94,Gengar,1,Normal,Ghost,Poison,60,65,60,130,75,110
123,94,Mega Gengar,1,Normal,Ghost,Poison,60,65,80,170,95,130
124,95,Onix,1,Normal,Rock,Ground,35,45,160,30,45,70
125,96,Drowzee,1,Normal,Psychic,,60,48,45,43,90,42
126,97,Hypno,1,Normal,Psychic,,85,73,70,73,115,67
127,98,Krabby,1,Normal,Water,,30,105,90,25,25,50
128,99,Kingler,1,Normal,Water,,55,130,115,50,50,75
129,100,Voltorb,1,Normal,Electric,,40,30,50,55,55,100
130,101,Electrode,1,Normal,Electric,,60,50,70,80,80,150
131,102,Exeggcute,1,Normal,Grass,Psychic,60,40,80,60,45,40
132,103,Exeggutor,1,Normal,Grass,Psychic,95,95,85,125,75,55
133,103,Alolan Exeggutor,1,Normal,Grass,Dragon,95,105,85,125,75,45
134,104,Cubone,1,Normal,Ground,,50,50,95,40,50,35
135,105,Marowak,1,Normal,Ground,,60,80,110,50,80,45
136,105,Alolan Marowak,1,Normal,Fire,Ghost,60,80,110,50,80,45
137,106,Hitmonlee,1,Normal,Fighting,,50,120,53,35,110,87
138,107,Hitmonchan,1,Normal,Fighting,,50,105,79,35,110,76
139,108,Lickitung,1,Normal,Normal,,90,55,75,60,75,30
140,109,Koffing,1,Normal,Poison,,40,65,95,60,45,35
141,110,Weezing,1,Normal,Poison,,65,90,120,85,70,60
142,110,Galarian Weezing,1,Normal,Poison,Fairy,65,90,120,85,70,60
143,111,Rhyhorn,1,Normal,Ground,Rock,80,85,95,30,30,25
144,112,Rhydon,1,Normal,Ground,Rock,105,130,120,45,45,40
145,113,Chansey,1,Normal,Normal,,250,5,5,35,105,50
146,114,Tangela,1,Normal,Grass,,65,55,115,100,40,60
147,115,Kangaskhan,1,Normal,Normal,,105,95,80,40,80,90
148,115,Mega Kangaskhan,1,Normal,Normal,,105,125,100,60,100,100
149,116,Horsea,1,Normal,Water,,30,40,70,70,25,60
150,117,Seadra,1,Normal,Water,,55,65,95,95,45,85
151,118,Goldeen,1,Normal,Water,,45,67,60,35,50,63
152,119,Seaking,1,Normal,Water,,80,92,65,65,80,68
153,120,Staryu,1,Normal,Water,,30,45,55,70,55,85
154,121,Starmie,1,Normal,Water,Psychic,60,75,85,100,85,115
155,122,Mr. Mime,1,Normal,Psychic,Fairy,40,45,65,100,120,90
156,122,Galarian Mr. Mime,1,Normal,Psychic,Ice,50,65,65,90,90,100
157,123,Scyther,1,Normal,Bug,Flying,70,110,80,55,80,105
158,124,Jynx,1,Normal,Ice,Psychic,65,50,35,115,95,95
159,125,Electabuzz,1,Normal,Electric,,65,83,57,95,85,105
160,126,Magmar,1,Normal,Fire,,65,95,57,100,85,93
161,127,Pinsir,1,Normal,Bug,,65,125,100,55,70,85
162,127,Mega Pinsir,1,Normal,Bug,Flying,65,155,120,65,90,105
163,128,Tauros,1,Normal,Normal,,75,100,95,40,70,110
164,129,Magikarp,1,Normal,Water,,20,10,55,15,20,80
165,130,Gyarados,1,Normal,Water,Flying,95,125,79,60,100,81
166,130,Mega Gyarados,1,Normal,Water,Dark,95,155,109,70,130,81
167,131,Lapras,1,Normal,Water,Ice,130,85,80,85,95,60
168,132,Ditto,1,Normal,Normal,,48,48,48,48,48,48
169,133,Eevee,1,Normal,Normal,,55,55,50,45,65,55
170,133,Partner Eevee,1,Normal,Normal,,65,75,70,65,85,75
171,134,Vaporeon,1,Normal,Water,,130,65,60,110,95,65
172,135,Jolteon,1,Normal,Electric,,65,65,60,110,95,130
173,136,Flareon,1,Normal,Fire,,65,130,60,95,110,65
174,137,Porygon,1,Normal,Normal,,65,60,70,85,75,40
175,138,Omanyte,1,Normal,Rock,Water,35,40,100,90,55,35
176,139,Omastar,1,Normal,Rock,Water,70,60,125,115,70,55
177,140,Kabuto,1,Normal,Rock,Water,30,80,90,55,45,55
178,141,Kabutops,1,Normal,Rock,Water,60,115,105,65,70,80
179,142,Aerodactyl,1,Normal,Rock,Flying,80,105,65,60,75,130
180,142,Mega Aerodactyl,1,Normal,Rock,Flying,80,135,85,70,95,150
181,143,Snorlax,1,Normal,Normal,,160,110,65,65,110,30
182,144,Articuno,1,Sub Legendary,Ice,Flying,90,85,100,95,125,85
183,145,Zapdos,1,Sub Legendary,Electric,Flying,90,90,85,125,90,100
184,146,Moltres,1,Sub Legendary,Fire,Flying,90,100,90,125,85,90
185,147,Dratini,1,Normal,Dragon,,41,64,45,50,50,50
186,148,Dragonair,1,Normal,Dragon,,61,84,65,70,70,70
187,149,Dragonite,1,Normal,Dragon,Flying,91,134,95,100,100,80
188,150,Mewtwo,1,Legendary,Psychic,,106,110,90,154,90,130
189,150,Mega Mewtwo X,1,Legendary,Psychic,Fighting,106,190,100,154,100,130
190,150,Mega Mewtwo Y,1,Legendary,Psychic,,106,150,70,194,120,140
191,151,Mew,1,Mythical,Psychic,,100,100,100,100,100,100
192,152,Chikorita,2,Normal,Grass,,45,49,65,49,65,45
193,153,Bayleef,2,Normal,Grass,,60,62,80,63,80,60
194,154,Meganium,2,Normal,Grass,,80,82,100,83,100,80
195,155,Cyndaquil,2,Normal,Fire,,39,52,43,60,50,65
196,156,Quilava,2,Normal,Fire,,58,64,58,80,65,80
197,157,Typhlosion,2,Normal,Fire,,78,84,78,109,85,100
198,158,Totodile,2,Normal,Water,,50,65,64,44,48,43
199,159,Croconaw,2,Normal,Water,,65,80,80,59,63,58
200,160,Feraligatr,2,Normal,Water,,85,105,100,79,83,78
201,161,Sentret,2,Normal,Normal,,35,46,34,35,45,20
202,162,Furret,2,Normal,Normal,,85,76,64,45,55,90
203,163,Hoothoot,2,Normal,Normal,Flying,60,30,30,36,56,50
204,164,Noctowl,2,Normal,Normal,Flying,100,50,50,86,96,70
205,165,Ledyba,2,Normal,Bug,Flying,40,20,30,40,80,55
206,166,Ledian,2,Normal,Bug,Flying,55,35,50,55,110,85
207,167,Spinarak,2,Normal,Bug,Poison,40,60,40,40,40,30
208,168,Ariados,2,Normal,Bug,Poison,70,90,70,60,70,40
209,169,Crobat,2,Normal,Poison,Flying,85,90,80,70,80,130
210,170,Chinchou,2,Normal,Water,Electric,75,38,38,56,56,67
211,171,Lanturn,2,Normal,Water,Electric,125,58,58,76,76,67
212,172,Pichu,2,Normal,Electric,,20,40,15,35,35,60
213,173,Cleffa,2,Normal,Fairy,,50,25,28,45,55,15
214,174,Igglybuff,2,Normal,Normal,Fairy,90,30,15,40,20,15
215,175,Togepi,2,Normal,Fairy,,35,20,65,40,65,20
216,176,Togetic,2,Normal,Fairy,Flying,55,40,85,80,105,40
217,177,Natu,2,Normal,Psychic,Flying,40,50,45,70,45,70
218,178,Xatu,2,Normal,Psychic,Flying,65,75,70,95,70,95
219,179,Mareep,2,Normal,Electric,,55,40,40,65,45,35
220,180,Flaaffy,2,Normal,Electric,,70,55,55,80,60,45
221,181,Ampharos,2,Normal,Electric,,90,75,85,115,90,55
222,181,Mega Ampharos,2,Normal,Electric,Dragon,90,95,105,165,110,45
223,182,Bellossom,2,Normal,Grass,,75,80,95,90,100,50
224,183,Marill,2,Normal,Water,Fairy,70,20,50,20,50,40
225,184,Azumarill,2,Normal,Water,Fairy,100,50,80,60,80,50
226,185,Sudowoodo,2,Normal,Rock,,70,100,115,30,65,30
227,186,Politoed,2,Normal,Water,,90,75,75,90,100,70
228,187,Hoppip,2,Normal,Grass,Flying,35,35,40,35,55,50
229,188,Skiploom,2,Normal,Grass,Flying,55,45,50,45,65,80
230,189,Jumpluff,2,Normal,Grass,Flying,75,55,70,55,95,110
231,190,Aipom,2,Normal,Normal,,55,70,55,40,55,85
232,191,Sunkern,2,Normal,Grass,,30,30,30,30,30,30
233,192,Sunflora,2,Normal,Grass,,75,75,55,105,85,30
234,193,Yanma,2,Normal,Bug,Flying,65,65,45,75,45,95
235,194,Wooper,2,Normal,Water,Ground,55,45,45,25,25,15
236,195,Quagsire,2,Normal,Water,Ground,95,85,85,65,65,35
237,196,Espeon,2,Normal,Psychic,,65,65,60,130,95,110
238,197,Umbreon,2,Normal,Dark,,95,65,110,60,130,65
239,198,Murkrow,2,Normal,Dark,Flying,60,85,42,85,42,91
240,199,Slowking,2,Normal,Water,Psychic,95,75,80,100,110,30
241,200,Misdreavus,2,Normal,Ghost,,60,60,60,85,85,85
242,201,Unown,2,Normal,Psychic,,48,72,48,72,48,48
243,202,Wobbuffet,2,Normal,Psychic,,190,33,58,33,58,33
244,203,Girafarig,2,Normal,Normal,Psychic,70,80,65,90,65,85
245,204,Pineco,2,Normal,Bug,,50,65,90,35,35,15
246,205,Forretress,2,Normal,Bug,Steel,75,90,140,60,60,40
247,206,Dunsparce,2,Normal,Normal,,100,70,70,65,65,45
248,207,Gligar,2,Normal,Ground,Flying,65,75,105,35,65,85
249,208,Steelix,2,Normal,Steel,Ground,75,85,200,55,65,30
250,208,Mega Steelix,2,Normal,Steel,Ground,75,125,230,55,95,30
251,209,Snubbull,2,Normal,Fairy,,60,80,50,40,40,30
252,210,Granbull,2,Normal,Fairy,,90,120,75,60,60,45
253,211,Qwilfish,2,Normal,Water,Poison,65,95,85,55,55,85
254,212,Scizor,2,Normal,Bug,Steel,70,130,100,55,80,65
255,212,Mega Scizor,2,Normal,Bug,Steel,70,150,140,65,100,75
256,213,Shuckle,2,Normal,Bug,Rock,20,10,230,10,230,5
257,214,Heracross,2,Normal,Bug,Fighting,80,125,75,40,95,85
258,214,Mega Heracross,2,Normal,Bug,Fighting,80,185,115,40,105,75
259,215,Sneasel,2,Normal,Dark,Ice,55,95,55,35,75,115
260,216,Teddiursa,2,Normal,Normal,,60,80,50,50,50,40
261,217,Ursaring,2,Normal,Normal,,90,130,75,75,75,55
262,218,Slugma,2,Normal,Fire,,40,40,40,70,40,20
263,219,Magcargo,2,Normal,Fire,Rock,60,50,120,90,80,30
264,220,Swinub,2,Normal,Ice,Ground,50,50,40,30,30,50
265,221,Piloswine,2,Normal,Ice,Ground,100,100,80,60,60,50
266,222,Corsola,2,Normal,Water,Rock,65,55,95,65,95,35
267,222,Galarian Corsola,2,Normal,Ghost,,60,55,100,65,100,30
268,223,Remoraid,2,Normal,Water,,35,65,35,65,35,65
269,224,Octillery,2,Normal,Water,,75,105,75,105,75,45
270,225,Delibird,2,Normal,Ice,Flying,45,55,45,65,45,75
271,226,Mantine,2,Normal,Water,Flying,85,40,70,80,140,70
272,227,Skarmory,2,Normal,Steel,Flying,65,80,140,40,70,70
273,228,Houndour,2,Normal,Dark,Fire,45,60,30,80,50,65
274,229,Houndoom,2,Normal,Dark,Fire,75,90,50,110,80,95
275,229,Mega Houndoom,2,Normal,Dark,Fire,75,90,90,140,90,115
276,230,Kingdra,2,Normal,Water,Dragon,75,95,95,95,95,85
277,231,Phanpy,2,Normal,Ground,,90,60,60,40,40,40
278,232,Donphan,2,Normal,Ground,,90,120,120,60,60,50
279,233,Porygon2,2,Normal,Normal,,85,80,90,105,95,60
280,234,Stantler,2,Normal,Normal,,73,95,62,85,65,85
281,235,Smeargle,2,Normal,Normal,,55,20,35,20,45,75
282,236,Tyrogue,2,Normal,Fighting,,35,35,35,35,35,35
283,237,Hitmontop,2,Normal,Fighting,,50,95,95,35,110,70
284,238,Smoochum,2,Normal,Ice,Psychic,45,30,15,85,65,65
285,239,Elekid,2,Normal,Electric,,45,63,37,65,55,95
286,240,Magby,2,Normal,Fire,,45,75,37,70,55,83
287,241,Miltank,2,Normal,Normal,,95,80,105,40,70,100
288,242,Blissey,2,Normal,Normal,,255,10,10,75,135,55
289,243,Raikou,2,Sub Legendary,Electric,,90,85,75,115,100,115
290,244,Entei,2,Sub Legendary,Fire,,115,115,85,90,75,100
291,245,Suicune,2,Sub Legendary,Water,,100,75,115,90,115,85
292,246,Larvitar,2,Normal,Rock,Ground,50,64,50,45,50,41
293,247,Pupitar,2,Normal,Rock,Ground,70,84,70,65,70,51
294,248,Tyranitar,2,Normal,Rock,Dark,100,134,110,95,100,61
295,248,Mega Tyranitar,2,Normal,Rock,Dark,100,164,150,95,120,71
296,249,Lugia,2,Legendary,Psychic,Flying,106,90,130,90,154,110
297,250,Ho-oh,2,Legendary,Fire,Flying,106,130,90,110,154,90
298,251,Celebi,2,Mythical,Psychic,Grass,100,100,100,100,100,100
299,252,Treecko,3,Normal,Grass,,40,45,35,65,55,70
300,253,Grovyle,3,Normal,Grass,,50,65,45,85,65,95
301,254,Sceptile,3,Normal,Grass,,70,85,65,105,85,120
302,254,Mega Sceptile,3,Normal,Grass,Dragon,70,110,75,145,85,145
303,255,Torchic,3,Normal,Fire,,45,60,40,70,50,45
304,256,Combusken,3,Normal,Fire,Fighting,60,85,60,85,60,55
305,257,Blaziken,3,Normal,Fire,Fighting,80,120,70,110,70,80
306,257,Mega Blaziken,3,Normal,Fire,Fighting,80,160,80,130,80,100
307,258,Mudkip,3,Normal,Water,,50,70,50,50,50,40
308,259,Marshtomp,3,Normal,Water,Ground,70,85,70,60,70,50
309,260,Swampert,3,Normal,Water,Ground,100,110,90,85,90,60
310,260,Mega Swampert,3,Normal,Water,Ground,100,150,110,95,110,70
311,261,Poochyena,3,Normal,Dark,,35,55,35,30,30,35
312,262,Mightyena,3,Normal,Dark,,70,90,70,60,60,70
313,263,Zigzagoon,3,Normal,Normal,,38,30,41,30,41,60
314,263,Galarian Zigzagoon,3,Normal,Dark,Normal,38,30,41,30,41,60
315,264,Linoone,3,Normal,Normal,,78,70,61,50,61,100
316,264,Galarian Linoone,3,Normal,Dark,Normal,78,70,61,50,61,100
317,265,Wurmple,3,Normal,Bug,,45,45,35,20,30,20
318,266,Silcoon,3,Normal,Bug,,50,35,55,25,25,15
319,267,Beautifly,3,Normal,Bug,Flying,60,70,50,100,50,65
320,268,Cascoon,3,Normal,Bug,,50,35,55,25,25,15
321,269,Dustox,3,Normal,Bug,Poison,60,50,70,50,90,65
322,270,Lotad,3,Normal,Water,Grass,40,30,30,40,50,30
323,271,Lombre,3,Normal,Water,Grass,60,50,50,60,70,50
324,272,Ludicolo,3,Normal,Water,Grass,80,70,70,90,100,70
325,273,Seedot,3,Normal,Grass,,40,40,50,30,30,30
326,274,Nuzleaf,3,Normal,Grass,Dark,70,70,40,60,40,60
327,275,Shiftry,3,Normal,Grass,Dark,90,100,60,90,60,80
328,276,Taillow,3,Normal,Normal,Flying,40,55,30,30,30,85
329,277,Swellow,3,Normal,Normal,Flying,60,85,60,75,50,125
330,278,Wingull,3,Normal,Water,Flying,40,30,30,55,30,85
331,279,Pelipper,3,Normal,Water,Flying,60,50,100,95,70,65
332,280,Ralts,3,Normal,Psychic,Fairy,28,25,25,45,35,40
333,281,Kirlia,3,Normal,Psychic,Fairy,38,35,35,65,55,50
334,282,Gardevoir,3,Normal,Psychic,Fairy,68,65,65,125,115,80
335,282,Mega Gardevoir,3,Normal,Psychic,Fairy,68,85,65,165,135,100
336,283,Surskit,3,Normal,Bug,Water,40,30,32,50,52,65
337,284,Masquerain,3,Normal,Bug,Flying,70,60,62,100,82,80
338,285,Shroomish,3,Normal,Grass,,60,40,60,40,60,35
339,286,Breloom,3,Normal,Grass,Fighting,60,130,80,60,60,70
340,287,Slakoth,3,Normal,Normal,,60,60,60,35,35,30
341,288,Vigoroth,3,Normal,Normal,,80,80,80,55,55,90
342,289,Slaking,3,Normal,Normal,,150,160,100,95,65,100
343,290,Nincada,3,Normal,Bug,Ground,31,45,90,30,30,40
344,291,Ninjask,3,Normal,Bug,Flying,61,90,45,50,50,160
345,292,Shedinja,3,Normal,Bug,Ghost,1,90,45,30,30,40
346,293,Whismur,3,Normal,Normal,,64,51,23,51,23,28
347,294,Loudred,3,Normal,Normal,,84,71,43,71,43,48
348,295,Exploud,3,Normal,Normal,,104,91,63,91,73,68
349,296,Makuhita,3,Normal,Fighting,,72,60,30,20,30,25
350,297,Hariyama,3,Normal,Fighting,,144,120,60,40,60,50
351,298,Azurill,3,Normal,Normal,Fairy,50,20,40,20,40,20
352,299,Nosepass,3,Normal,Rock,,30,45,135,45,90,30
353,300,Skitty,3,Normal,Normal,,50,45,45,35,35,50
354,301,Delcatty,3,Normal,Normal,,70,65,65,55,55,90
355,302,Sableye,3,Normal,Dark,Ghost,50,75,75,65,65,50
356,302,Mega Sableye,3,Normal,Dark,Ghost,50,85,125,85,115,20
357,303,Mawile,3,Normal,Steel,Fairy,50,85,85,55,55,50
358,303,Mega Mawile,3,Normal,Steel,Fairy,50,105,125,55,95,50
359,304,Aron,3,Normal,Steel,Rock,50,70,100,40,40,30
360,305,Lairon,3,Normal,Steel,Rock,60,90,140,50,50,40
361,306,Aggron,3,Normal,Steel,Rock,70,110,180,60,60,50
362,306,Mega Aggron,3,Normal,Steel,,70,140,230,60,80,50
363,307,Meditite,3,Normal,Fighting,Psychic,30,40,55,40,55,60
364,308,Medicham,3,Normal,Fighting,Psychic,60,60,75,60,75,80
365,308,Mega Medicham,3,Normal,Fighting,Psychic,60,100,85,80,85,100
366,309,Electrike,3,Normal,Electric,,40,45,40,65,40,65
367,310,Manectric,3,Normal,Electric,,70,75,60,105,60,105
368,310,Mega Manectric,3,Normal,Electric,,70,75,80,135,80,135
369,311,Plusle,3,Normal,Electric,,60,50,40,85,75,95
370,312,Minun,3,Normal,Electric,,60,40,50,75,85,95
371,313,Volbeat,3,Normal,Bug,,65,73,75,47,85,85
372,314,Illumise,3,Normal,Bug,,65,47,75,73,85,85
373,315,Roselia,3,Normal,Grass,Poison,50,60,45,100,80,65
374,316,Gulpin,3,Normal,Poison,,70,43,53,43,53,40
375,317,Swalot,3,Normal,Poison,,100,73,83,73,83,55
376,318,Carvanha,3,Normal,Water,Dark,45,90,20,65,20,65
377,319,Sharpedo,3,Normal,Water,Dark,70,120,40,95,40,95
378,319,Mega Sharpedo,3,Normal,Water,Dark,70,140,70,110,65,105
379,320,Wailmer,3,Normal,Water,,130,70,35,70,35,60
380,321,Wailord,3,Normal,Water,,170,90,45,90,45,60
381,322,Numel,3,Normal,Fire,Ground,60,60,40,65,45,35
382,323,Camerupt,3,Normal,Fire,Ground,70,100,70,105,75,40
383,323,Mega Camerupt,3,Normal,Fire,Ground,70,120,100,145,105,20
384,324,Torkoal,3,Normal,Fire,,70,85,140,85,70,20
385,325,Spoink,3,Normal,Psychic,,60,25,35,70,80,60
386,326,Grumpig,3,Normal,Psychic,,80,45,65,90,110,80
387,327,Spinda,3,Normal,Normal,,60,60,60,60,60,60
388,328,Trapinch,3,Normal,Ground,,45,100,45,45,45,10
389,329,Vibrava,3,Normal,Ground,Dragon,50,70,50,50,50,70
390,330,Flygon,3,Normal,Ground,Dragon,80,100,80,80,80,100
391,331,Cacnea,3,Normal,Grass,,50,85,40,85,40,35
392,332,Cacturne,3,Normal,Grass,Dark,70,115,60,115,60,55
393,333,Swablu,3,Normal,Normal,Flying,45,40,60,40,75,50
394,334,Altaria,3,Normal,Dragon,Flying,75,70,90,70,105,80
395,334,Mega Altaria,3,Normal,Dragon,Fairy,75,110,110,110,105,80
396,335,Zangoose,3,Normal,Normal,,73,115,60,60,60,90
