HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Common name,Femalematurity,Malematurity,Gestation,LitterSize,Adultweight,Maximumlongevity
4114,Animalia,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,carolinae,Animalia.Chordata.Teleostei.Scorpaeniformes.Cottidae.Cottus.carolinae,Banded sculpin,730,730,,475,,4
3813,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Neogobius,melanostomus,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Neogobius.melanostomus,Round goby,730,1277,,,,4
2718,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,rattus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Rattus.rattus,Rat,90,112,22,7.3,200,4.2
2128,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,Animalia.Chordata.Mammalia.Didelphimorphia.Didelphidae.Didelphis.marsupialis,Southern opossum,178,240,12,6,1530,4.2
946,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,caerulea,Animalia.Chordata.Aves.Passeriformes.Polioptilidae.Polioptila.caerulea,Blue-grey gnatcatcher,319,319,13,4,6.5,4.2
2695,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,minutoides,Animalia.Chordata.Mammalia.Rodentia.Muridae.Mus.minutoides,Mouse,60,77,20,4.3,7.2,4.3
2655,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,flavicollis,Animalia.Chordata.Mammalia.Rodentia.Muridae.Apodemus.flavicollis,Yellow-necked mouse,52,52,26,5.5,29.4,4.5
2719,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rhabdomys,pumilio,Animalia.Chordata.Mammalia.Rodentia.Muridae.Rhabdomys.pumilio,Four-striped grass mouse,42,64,25,6,51,4.5
2720,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rhombomys,opimus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Rhombomys.opimus,Great gerbil,105,105,28,5,285,4.5
2545,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,torridus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Onychomys.torridus,Southern grasshopper mouse,41,41,30,3.7,22,4.6
2497,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,spixii,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Galea.spixii,Spix's yellow-toothed cavy,70,112,53,2.5,450,4.6
3026,Animalia,Chordata,Reptilia,Squamata,Colubridae,Storeria,occipitomaculata,Animalia.Chordata.Reptilia.Squamata.Colubridae.Storeria.occipitomaculata,Redbelly snake,730,730,,,,4.6
3683,Animalia,Chordata,Teleostei,Gasterosteiformes,Syngnathidae,Hippocampus,erectus,Animalia.Chordata.Teleostei.Gasterosteiformes.Syngnathidae.Hippocampus.erectus,Hudson sea horse,273,273,,,,4.7
2522,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,agrestis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.agrestis,Field vole,36,42,21,4.4,46,4.8
2523,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,arvalis,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.arvalis,Common vole,38,56,21,5.1,27.5,4.8
835,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,crissale,Animalia.Chordata.Aves.Passeriformes.Mimidae.Toxostoma.crissale,Crissal thrasher,274,274,14,2.5,62.7,4.8
658,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,americana,Animalia.Chordata.Aves.Passeriformes.Cardinalidae.Spiza.americana,Dickcissel,365,365,12,4,33,4.8
710,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Calamospiza,melanocorys,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Calamospiza.melanocorys,Lark bunting,365,365,12,5,32.6,4.8
2533,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,glareolus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Myodes.glareolus,Bank vole,47,72,20,4.3,20.8,4.9
2116,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,Animalia.Chordata.Mammalia.Dasyuromorphia.Dasyuridae.Sminthopsis.macroura,Stripe-faced dunnart,119,159,12,4,20,4.9
2654,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,argenteus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Apodemus.argenteus,Small Japanese field mouse,61,61,,4.1,,5
2668,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,validus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Gerbilliscus.validus,Southern savanna gerbil,99,99,25,4.3,113,5
2112,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Animalia.Chordata.Mammalia.Dasyuromorphia.Dasyuridae.Sminthopsis.crassicaudata,Fat-tailed dunnart,115,159,14,7,15,5
79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Animalia.Chordata.Amphibia.Anura.Microhylidae.Microhyla.ornata,Ornate narrow-mouthed frog,547,182,,,,5
594,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,cupido,Animalia.Chordata.Aves.Galliformes.Phasianidae.Tympanuchus.cupido,Greater prairie chicken,365,183,23,13,908,5
3807,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Gobius,niger,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Gobius.niger,Black goby,292,292,,,,5
2134,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,robinsoni,Animalia.Chordata.Mammalia.Didelphimorphia.Didelphidae.Marmosa.robinsoni,Robinson's mouse opossum,279,365,14,10,75,5
536,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,Animalia.Chordata.Aves.Cuculiformes.Cuculidae.Coccyzus.americanus,Yellow-billed cuckoo,365,365,14,3,57.8,5
537,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Animalia.Chordata.Aves.Cuculiformes.Cuculidae.Coccyzus.erythropthalmus,Black-billed cuckoo,365,365,14,2.5,37.5,5
643,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,pictus,Animalia.Chordata.Aves.Passeriformes.Calcariidae.Calcarius.pictus,Smith's longspur,365,365,12,4,26.65,5
3895,Animalia,Chordata,Teleostei,Perciformes,Percidae,Etheostoma,blennioides,Animalia.Chordata.Teleostei.Perciformes.Percidae.Etheostoma.blennioides,Greenside darter,365,365,,,,5
3975,Animalia,Chordata,Teleostei,Perciformes,Sciaenidae,Micropogonias,undulatus,Animalia.Chordata.Teleostei.Perciformes.Sciaenidae.Micropogonias.undulatus,Atlantic croaker,365,365,,,1419,5
3983,Animalia,Chordata,Teleostei,Perciformes,Scombridae,Sarda,sarda,Animalia.Chordata.Teleostei.Perciformes.Scombridae.Sarda.sarda,Atlantic bonito,365,365,,,6050,5
3681,Animalia,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius,Animalia.Chordata.Teleostei.Gasterosteiformes.Gasterosteidae.Pungitius.pungitius,Ninespine stickleback,547,547,,,,5
3709,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus,pretiosus,Animalia.Chordata.Teleostei.Osmeriformes.Osmeridae.Hypomesus.pretiosus,Surf smelt,547,547,,,,5
92,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Animalia.Chordata.Amphibia.Anura.Ranidae.Lithobates.sylvaticus,Wood frog,912,547,,900,7.88,5
3664,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,esmarkii,Animalia.Chordata.Teleostei.Gadiformes.Gadidae.Trisopterus.esmarkii,Norway pout,693,693,,,,5
3568,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Nocomis,micropogon,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Nocomis.micropogon,River chub,730,730,,,,5
3987,Animalia,Chordata,Teleostei,Perciformes,Scombridae,Scomberomorus,maculatus,Animalia.Chordata.Teleostei.Perciformes.Scombridae.Scomberomorus.maculatus,Spanish mackerel,1095,730,,,3239.5,5
103,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Animalia.Chordata.Amphibia.Anura.Ranidae.Rana.macrocnemis,Long-legged wood frog,912,912,,2040,,5
3468,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupeonella,cultriventris,Animalia.Chordata.Teleostei.Clupeiformes.Clupeidae.Clupeonella.cultriventris,Black sea sprat,912,912,,,,5
3610,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rhodeus,sericeus,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Rhodeus.sericeus,Bitterling,912,912,,,,5
3715,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Thaleichthys,pacificus,Animalia.Chordata.Teleostei.Osmeriformes.Osmeridae.Thaleichthys.pacificus,Eulachon,912,912,,,,5
3559,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Luxilus,coccogenis,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Luxilus.coccogenis,Warpaint shiner,1095,1095,,525,,5
3608,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rhinichthys,cataractae,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Rhinichthys.cataractae,Longnose dace,1095,1095,,,,5
4093,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Animalia.Chordata.Teleostei.Salmoniformes.Salmonidae.Oncorhynchus.kisutch,Coho salmon,1095,1095,,,8360,5
2139,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,domestica,Animalia.Chordata.Mammalia.Didelphimorphia.Didelphidae.Monodelphis.domestica,Gray short-tailed opossum,122,122,15,9,105,5.1
1037,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,japonicus,Animalia.Chordata.Aves.Passeriformes.Zosteropidae.Zosterops.japonicus,Japanese white-eye,365,365,11,3.5,11.25,5.1
699,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Aimophila,ruficeps,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Aimophila.ruficeps,Rufous-crowned sparrow,365,365,12,3,18.8,5.1
845,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,rubescens,Animalia.Chordata.Aves.Passeriformes.Motacillidae.Anthus.rubescens,American pipit,365,365,14,5,20.8,5.1
2565,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Sigmodon.hispidus,Hispid cotton rat,40,40,27,5,185,5.2
2707,Animalia,Chordata,Mammalia,Rodentia,Muridae,Praomys,tullbergi,Animalia.Chordata.Mammalia.Rodentia.Muridae.Praomys.tullbergi,Tullberg's rock rat,82,75,24,3.5,30,5.2
2586,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,elater,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Allactaga.elater,Small five-toed jerboa,142,142,,4.5,58.7,5.2
588,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,perdix,Animalia.Chordata.Aves.Galliformes.Phasianidae.Perdix.perdix,Grey partridge,365,365,24,16,492,5.2
2701,Animalia,Chordata,Mammalia,Rodentia,Muridae,Notomys,mitchellii,Animalia.Chordata.Mammalia.Rodentia.Muridae.Notomys.mitchellii,Mitchell's hopping mouse,73,90,37,3.3,52,5.3
2715,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,fuscipes,Animalia.Chordata.Mammalia.Rodentia.Muridae.Rattus.fuscipes,Bush rat,107,90,26,5,130,5.3
2678,Animalia,Chordata,Mammalia,Rodentia,Muridae,Leporillus,conditor,Animalia.Chordata.Mammalia.Rodentia.Muridae.Leporillus.conditor,Greater stick-nest rat,227,240,38,2.2,332.5,5.3
2620,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Muscardinus,avellanarius,Animalia.Chordata.Mammalia.Rodentia.Gliridae.Muscardinus.avellanarius,Hazel dormouse,335,335,23,4,27.3,5.3
2568,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Tylomys,nudicaudus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Tylomys.nudicaudus,Peters's climbing rat,82,109,40,2.4,280,5.4
2089,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Animalia.Chordata.Mammalia.Dasyuromorphia.Dasyuridae.Antechinus.stuartii,Brown antechinus,285,285,30,7,27.5,5.4
2832,Animalia,Chordata,Mammalia,Rodentia,Thryonomyidae,Thryonomys,swinderianus,Animalia.Chordata.Mammalia.Rodentia.Thryonomyidae.Thryonomys.swinderianus,Greater cane rat,365,365,155,4,6600,5.4
2100,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus,apicalis,Animalia.Chordata.Mammalia.Dasyuromorphia.Dasyuridae.Parantechinus.apicalis,Southern dibbler,315,315,48,8,70,5.5
1020,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,Animalia.Chordata.Aves.Passeriformes.Tyrannidae.Pyrocephalus.rubinus,Vermilion flycatcher,365,365,14,3,12.87,5.5
2615,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Eliomys,quercinus,Animalia.Chordata.Mammalia.Rodentia.Gliridae.Eliomys.quercinus,Garden dormouse,365,365,23,5,82.5,5.5
2594,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,hudsonius,Animalia.Chordata.Mammalia.Rodentia.Dipodidae.Zapus.hudsonius,Meadow jumping mouse,61,61,19,5.5,18,5.6
2680,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,crassus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Meriones.crassus,Sundevall's jird,61,82,22,4,35,5.6
2544,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,leucogaster,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Onychomys.leucogaster,Northern grasshopper mouse,100,114,31,4,32.5,5.6
951,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,calendula,Animalia.Chordata.Aves.Passeriformes.Regulidae.Regulus.calendula,Ruby-crowned kinglet,365,365,12,8,6.75,5.6
954,Animalia,Chordata,Aves,Passeriformes,Remizidae,Auriparus,flaviceps,Animalia.Chordata.Aves.Passeriformes.Remizidae.Auriparus.flaviceps,Verdin,365,365,14,4,6.8,5.6
990,Animalia,Chordata,Aves,Passeriformes,Turdidae,Ixoreus,naevius,Animalia.Chordata.Aves.Passeriformes.Turdidae.Ixoreus.naevius,Varied thrush,365,365,14,3,78.5,5.6
1545,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,Animalia.Chordata.Mammalia.Afrosoricida.Tenrecidae.Microgale.dobsoni,Dobson's shrew tenrec,669,669,61,2.67,37.8,5.6
2667,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,afra,Animalia.Chordata.Mammalia.Rodentia.Muridae.Gerbilliscus.afra,Cape gerbil,152,115,23,3.9,74.8,5.7
837,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,lecontei,Animalia.Chordata.Aves.Passeriformes.Mimidae.Toxostoma.lecontei,Le conte's thrasher,312,312,16,3,61.82,5.7
